제목,줄거리,장르,연령등급,제작연도,평점,포스터 이미지,OTT
원더풀 라이프,"죽은 사람에게 사흘의 시간이 주어진다. 천국에 가져갈 단 하나의 기억을 고를 시간. 다들 삶 속에서 소중한 추억을 택하는 가운데, 누군가는 선뜻 고르지 못한다. 이어서 뜻밖의 사실이 드러나고. 당신의 가장 행복한 순간은 언제였나요?","드라마, 판타지",전체 관람가,1998년,4.0,https://file.kinolights.com/m/content_poster/202307/12/867e876e-431a-4b70-a07c-f102230a11da.webp,넷플릭스
원맨,과거를 묻고 은퇴하는 베테랑 청부살인업자. 테러리스트들이 그의 마을에 들이닥친다. 게다가 어린 소녀를 학대하는데… 지킬 것이 생겼다. 정체가 탄로났다. 처음으로 남을 위해 다시 총을 드는데…,"액션, 스릴러",15세 이상 관람가,2023년,3.1,https://file.kinolights.com/m/content_poster/202408/13/9a51dc92-65f9-42f9-964c-0b3468348b02.webp,티빙
원스 어폰 어 타임... 인 할리우드,"1969년 할리우드, 잊혀져가는 액션 스타 릭 달튼과 그의 스턴트배우 클리프 부스는 과거의 영광을 되찾기 위해 할리우드에서 고군분투하지만 큰 성과를 거두진 못한다. 릭의 이웃집에 새롭게 이사 온 할리우드의 떠오르는 핫 아이콘 로만 폴란스키 감독과 샤론 테이트 부부와 친분을 쌓아 새로운 기회를 노려보지만 이 또한 녹록지 않은데...","드라마, 코미디, 스릴러",청소년 관람불가,2019년,3.8,https://file.kinolights.com/m/content_poster/202307/12/88eaaa61-d796-4aa8-8bc5-bc10b3a0ad6f.webp,"넷플릭스, 왓챠, 쿠팡플레이"
원정빌라,"교외에 위치한 오래된 다세대 주택 원정빌라 203호에 사는 주현은 아픈 어머니와 조카를 돌보며 은행 경비 일과 공인중개사 시험을 병행하는 청년이다. 순한 성격으로 빌라의 모든 이웃들과 스스럼없이 지내지만, 이기적이고 무례한 위층(303호) 여자 신혜와는 주차 문제부터 층간 소음까지 사사건건 부딪힌다. 어느 날, 주현은 303호 우편함에만 불법 전단지를 꽂아 넣는 소심한 복수를 하고, 이는 뜻밖에 위층 여자의 광기를 건드리는 도화선이 되어 이웃은 물론 주현의 가족까지 위험에 빠트리게 된다.","스릴러, 공포",15세 이상 관람가,2023년,2.1,https://file.kinolights.com/m/content_poster/202411/18/ebf26e4f-a371-4e2e-8cdf-5dede58edabe.webp,"왓챠, 쿠팡플레이, 티빙"
원초적 본능,"록스타가 얼음 송곳으로 살인당하는 사건이 발생하고, 매혹적인 범죄 소설가 캐서린 트라멜이 사건의 용의자로 물망에 오른다. 사건을 취조하게 된 형사 닉은 그녀에게 치명적인 위험이 도사리고 있음을 직감하지만, 이미 몸과 마음이 사로잡힌지 오래다. 그녀가 움직이면, 피할수 없는 게임이 시작된다!","드라마, 스릴러",청소년 관람불가,1992년,3.6,https://file.kinolights.com/m/content_poster/202307/19/48271e70-9c23-4348-8cb9-552a34a8c1ac.webp,"넷플릭스, 왓챠, 쿠팡플레이"
원티드,"평범한 청년 웨슬리는 어느 날 섹시한 매력의 폭스를 만나고, 아버지가 암살 조직에서 일했던 최고의 킬러였다는 사실을 알게 된다. 그 또한 암살 조직의 리더 폭스와 슬론의 도움으로 아버지의 뒤를 이어 최고의 킬러로 훈련 받는다. 임무 실행에 필요한 것은 무엇이든지 제공되지만 목숨만은 안전할 수 없는 위험한 미션 속에, 웨슬리는 자신의 숨겨진 능력을 발견하고 실력있는 킬러로 인정받게 된다. 하지만, 시간이 흐를수록 조직의 수상한 움직임을 감지하게 되고 폭스와 함께 조직을 조사하게 되는데...","액션, 스릴러",청소년 관람불가,2008년,3.5,https://file.kinolights.com/m/content_poster/202307/12/68ddac64-90d9-4304-8cf2-25d74e0dc48d.webp,왓챠
원펀맨 1기,우연히 악당을 만나 처치했다가 어릴 적 꿈을 떠올린 취준생. 그길로 특훈을 시작해 장래 희망을 실현한다. 이제는 명실공히 무적의 히어로! 한데 문제가 생겼다. 어떤 강적도 한 방에 끝내 버리니까 사는 게 너무 시시하잖아.,"코미디, 액션, 판타지, 애니메이션",15세 이상 시청가,2015년,4.0,https://file.kinolights.com/m/content_poster/202307/12/cd3bd5d9-2beb-427e-a45c-1a3ac82ae636.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
원펀맨 2기,평화롭지만 무료한 일상을 보내던 중 히어로 협회의 호출을 받은 사이타마와 제노스. 만만치 않은 녀석이 등장했다는 소식이다. 최강의 괴인을 자처하며 히어로 사냥을 다닌다나. 어쩌면 이번에는 한 방에 안 끝날지도 모른다. 심장이 뛴다!,"코미디, 액션, 판타지, 애니메이션",15세 이상 시청가,2019년,3.5,https://file.kinolights.com/m/content_poster/202307/12/4f4929a9-f35b-4fc7-9446-21bcf5a5b2a0.webp,"넷플릭스, 티빙"
원피스,"해적 중의 해적을 꿈꾸며, 보물 중의 보물을 찾아 떠나는 소년의 모험. 오랫동안 사랑받은 오다 에이이치로의 베스트셀러 일본 만화가 실사 시리즈로 재탄생한다.","드라마, 코미디, 액션, 판타지",15세 이상 시청가,2023년,3.0,https://file.kinolights.com/m/content_poster/202309/06/d11a002f-0944-4fee-88ee-db42b56a0094.webp,넷플릭스
원피스 1기,"어렸을 적 악마의 열매를 먹고 몸이 맘대로 늘어나는 고무 인간이 돼버린 주인공 루피. 그러나 해적왕이 꿈인 루피는 그 열매를 먹은 대가로 수영을 할 수가 없다. 해적왕이 꿈인 소년이 수영을 할 수가 없다니 꿈을 접어야 할까. 루피는 수영을 못한다면 물에 안 빠지면 된다며 자신의 꿈을 향해 전진한다. 해적왕 골드로저가 남긴 보물 원피스를 차지하기 위해 수 많은 사람들이 바다로 뛰어드는 대해적 시대를 배경으로 세계지도를 그리려는 항해사 '나미', 최고의 검객를 꿈꾸는 '조로', 기적의 바다 오올 블루를 찾는 주방장 '상디', 코가 파랗다는 이유로 동료들에게 버려진 사슴인간 ‘쵸파’이렇게 다섯 인물들의 파란만장한 모험 이야기가 펼쳐진다.","액션, 판타지, 애니메이션",12세 이상 시청가,1999년,4.2,https://file.kinolights.com/m/content_poster/202307/12/91439984-e94e-4ff6-ac6f-fb471042230b.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
원피스 30기,"무사의 나라에 먼저 와있던 조로, 우솝, 로빈 등 해적단 일당이 주민으로 가장하여 잠입해 있던 중 위험에 빠진 사람을 구하기 위해 나선 조로가 범인으로 몰리면서 이를 해결하기 위한 해적단 일당들의 이야기","드라마, 코미디, 액션, 판타지, 애니메이션",15세 이상 시청가,2023년,4.4,https://file.kinolights.com/m/content_poster/202406/12/f5af1243-6fff-4a05-b855-389e61f84a93.webp,티빙
원피스 31기,"카이도와 빅 맘의 몰락으로 사황 체제가 바뀌면서, 새롭게 사황이 된 루피가 무사의 나라를 떠나 도착한 곳은 어느 겨울섬이었다. 밀짚모자 일당은 그곳에서 우연히 최악의 세대 중 한 명인 주얼리 보니를 만나서 함께 새로운 섬의 모험을 시작한다. ‘500년 후의 미래’, ‘미래섬’ 등으로 불리는 그 겨울섬은 천재 과학자 닥터 베가펑크의 연구소가 있는 곳으로, 세계 정부가 소유하고 있는 섬이었다. 그들은 그곳에서 마침내 베가펑크를 만나게 되지만 베가펑크를 자칭하는 사람은 한 명이 아니고 모습도 제각각인데... 과연 베가펑크에게 숨겨진 비밀은 무엇이고 밀짚모자 일당은 어떤 모험을 펼치게 될 것인가?","코미디, 액션, 애니메이션",15세 이상 시청가,2023년,4.2,https://file.kinolights.com/m/content_poster/202401/17/d0e3445c-de2d-42c4-a537-5600e1cd552f.webp,티빙
월-E,"텅 빈 지구에 홀로 남아 수백 년이란 시간을 외롭게 일만 하며 보내던 월-E (WALL-E: Waste Allocation Load Lifter Earth-Class, 지구 폐기물 수거-처리용 로봇). 그런 그가 매력적인 탐사 로봇 이브와 마주친 순간, 잡동사니 수집만이 낙이던 인생에도 소중한 목표가 생긴다. 이브는 지구의 미래를 결정할 열쇠가 우연히 월-E의 손에 들어간 사실을 알게 되고, 고향별로 돌아갈 날만 애타게 기다리는 인간들에게 이를 보고하기 위해 서둘러 우주로 향한다.","로맨스, 애니메이션",전체 관람가,2008년,4.3,https://file.kinolights.com/m/content_poster/202307/12/218058c8-8f90-4452-8bcc-96e116a4ea17.webp,쿠팡플레이
월드워 Z,"세계 곳곳에서 원인을 알 수 없는 이변이 일어나기 시작하고, 정체 불명의 존재들의 무차별적 공격으로 도시는 순식간에 아수라장으로 변한다. 군인 출신으로 전시 경험이 풍부하고 위기 대처 능력이 뛰어난 전직 UN 소속 조사관 제리는 위험한 상황에서 가까스로 가족들과 탈출하는데 성공하고 이제껏 본 적 없는 인류 최대의 위기 앞에 대재난에 맞설 최후의 적임자로 지목된다. 마침내 제리는 전 세계를 위협하는 거대한 정체들과 직면하게 되고, 그들의 끊임없는 공격에 맞서 필사의 사투를 벌이게 되는데...","드라마, 액션, 스릴러, 공포",15세 이상 관람가,2013년,3.5,https://file.kinolights.com/m/content_poster/202307/12/10abe00d-17d3-4cfd-9864-d471c1817dc2.webp,쿠팡플레이
월래스와 그로밋 : 거대 토끼의 저주,"최강 콤비 '월래스&그로밋' 사건이 있는 곳이라면 언제든지 달려간다. 곧 있으면 열릴 '슈퍼 야채 선발대회'로 인해 마을 전체가 축제 분위기에 휩싸인 가운데, 어느 날 밤, 누군가 나타나 마을의 야채 전부를 먹어 치우는 일대사건이 발생한다. 무시무시한 침입자의 흔적으로 인해 마을은 공포에 휩싸이고 최첨단 발명품으로 무장한 특수 요원 월래스와 그로밋은 즉각 수사에 착수한다. 그들은 끈질긴 추적 끝에 범인이 '거대 토끼'란 사실을 밝혀내는데...","코미디, 판타지, 애니메이션",전체 관람가,2005년,3.4,https://file.kinolights.com/m/content_poster/202307/12/68e10b82-ca75-405a-84ae-c722d2d62720.webp,"왓챠, 쿠팡플레이"
월레스와 그로밋 더 클래식 컬렉션,"천재 발명가라기엔 2% 부족한 주인 월레스, 그의 동반자 천재 반려견 그로밋. 그들의 평범한 일상에 수상한 손님들이 나타났다!? 치즈를 구하러 달나라로 ‘화려한 외출’을 떠난 어느 하루와 비밀을 숨긴 하숙생과 펼치는 ‘전자바지 소동’ ‘양털 도둑’으로 인한 그로밋의 수난시대까지! 월레스가 친 사고를 수습하느라 그로밋은 언제나 바쁘다! 오늘은 또 어떤 일이 펼쳐질까?",애니메이션,전체 관람가,2024년,4.0,https://file.kinolights.com/m/content_poster/202402/19/d28c8a85-3198-471d-a916-5e06b23bb02d.webp,"왓챠, 티빙"
월레스와 그로밋: 복수의 날개,"최첨단 발명품을 만든 월레스. 그런데 이 발명품이 제멋대로 작동하면서, 수상한 범죄에 대한 누명까지 쓰게 된다. 결국, 똑똑한 개 그로밋이 주인을 구하기 위해 나선다.","코미디, 애니메이션",12세 이상 관람가,2024년,3.7,https://file.kinolights.com/m/content_poster/202501/08/ce28438e-c61b-4011-b9f9-524fea79363f.webp,넷플릭스
월터의 상상은 현실이 된다,"자신의 꿈은 접어둔 채 16년째 ‘라이프’ 잡지사에서 포토 에디터로 일하고 있는 월터 미티. 해본 것도, 가본 곳도, 특별한 일도 없는 월터의 유일한 취미는 바로 상상! 상상 속에서만큼은 ‘본 시리즈’보다 용감한 히어로, ‘벤자민 버튼’보다 로맨틱한 사랑의 주인공이 된다. 어느 날, ‘라이프’ 지의 폐간을 앞두고 전설의 사진작가가 보내온 마지막 표지 사진이 사라지는 일이 벌어진다. 당장 사진을 찾아 오지 못할 경우 직장에서 쫓겨날 위기에 처하게 된 월터는 사라진 사진의 미스터리를 풀기 위해 연락조차 닿지 않는 사진작가를 찾아 떠나는데...","드라마, 코미디, 판타지",12세 이상 관람가,2013년,3.7,https://file.kinolights.com/m/content_poster/202307/12/0c08cd8c-974c-4155-a72d-7d7429575ca0.webp,쿠팡플레이
웡카,"세상에서 가장 달콤한 여정
좋은 일은 모두 꿈에서부터 시작된다!
가진 것은 달콤한 꿈과 낡은 모자 뿐인 ‘윌리 웡카’가
세계 최고의 초콜릿 메이커가 되기까지 놀라운 여정을 그린 스윗 어드벤처","코미디, 판타지",전체 관람가,2023년,3.4,https://file.kinolights.com/m/content_poster/202401/03/4df03214-2646-4981-b48e-0c6380734554.webp,쿠팡플레이
웨스트 사이드 스토리,자신을 가둔 환경과 운명에 순응하지 않고 자신만의 세상을 꿈꾸는 마리아와 토니의 사랑과 용기를 그린 작품으로 새로운 세상을 찾아 나서는 모든 이들을 응원하고 용기를 선사하는 영화.,드라마,12세 이상 관람가,2021년,3.0,https://file.kinolights.com/m/content_poster/202307/12/d7fea49b-f322-4582-8494-22f1def3862d.webp,쿠팡플레이
웨스트월드 시즌 1,"테마파크 웨스트월드의 ‘호스트’라고 불리는 안드로이드들은 정해진 시나리오에 따라 행동한다. 그런데 어느 날, 일부 호스트들이 입력값과 다른 행동을 보이기 시작한다.","드라마, 스릴러",19세 이상 시청가,2016년,4.0,https://file.kinolights.com/m/content_poster/202307/12/4b7dea6e-e917-44f9-b7d4-1fa0140aba7a.webp,쿠팡플레이
웬즈데이,"똑똑하고 비꼬는 것에 도가 튼 웬즈데이 아담스. 암울함을 풍기는 그녀가 네버모어 아카데미에서 연쇄 살인 사건을 조사하기 시작한다. 새 친구도 사귀고, 앙숙도 만들며.","코미디, 판타지",15세 이상 시청가,2022년,3.8,https://file.kinolights.com/m/content_poster/202307/12/4191bc4b-4947-41cc-9eb7-e0032de08fce.webp,넷플릭스
웰컴투 삼달리,"한라산 자락 어느 개천에서 난 용 같은 삼달이 어느 날 모든 걸 잃고 곤두박질치며 추락한 뒤, 개천을 소중히 지켜온 용필과 고향의 품으로 다시 돌아와 숨을 고르는 이야기, 그리고 다시 사랑을 찾는 이야기","드라마, 코미디, 로맨스",15세 이상 시청가,2023년,3.6,https://file.kinolights.com/m/content_poster/202311/13/4e38c9b6-d869-4fd7-9f53-3e63ea5b13be.webp,"넷플릭스, 티빙"
위국일기,"절연하고 살던 언니가 죽었다. 서른다섯의 베스트셀러 작가 마키오는 오갈 데 없는 열다섯 조카 아사를 충동적으로 집에 들인다. 결혼, 임신, 출산 등은 물론이거니와 타인과 한집에 사는 삶조차 계획한 적 없는 마키오에게 아사의 존재는 매일 물음표를 던진다. 한편, 하루아침 부모를 잃은 사춘기 소녀는 새로운 환경에 곧잘 적응하는 듯하다가도 문득 자신에게 일어난 일을 어떻게 소화해야 할지 몰라 헤맨다.",드라마,12세 이상 관람가,2024년,3.3,https://file.kinolights.com/m/content_poster/202408/29/e4782fc9-d0db-4f8a-945e-5865b5119e8f.webp,"왓챠, 티빙"
위닝 타임: 레이커스 왕조의 비상,"스포츠 역사상 최고로 손꼽히는 '레이커스 왕조', 1980년대 LA 레이커스의 황금기 '쇼타임 레이커스' 시기를 둘러싼 코트 안팎의 야심 가득한 이야기가 펼쳐진다.","드라마, 코미디",19세 이상 시청가,2022년,0.0,https://file.kinolights.com/m/content_poster/202307/12/921d5376-3ea8-4de8-802a-730fb87843af.webp,쿠팡플레이
위대한 개츠비,"1922년 뉴욕 외곽에서 살고 있는 닉은 호화로운 별장에 살고 있는 이웃 개츠비에게 관심을 갖게 된다. 제1차 세계대전에 참전한 후 옥스포드에서 공부한 적이 있다는 개츠비는 어딘가 비밀이 가득한 의문의 사나이. 이 베일에 싸인 백만장자는 토요일마다 떠들썩한 파티를 열어 많은 손님을 초대했다. 파티에 초대 받아 참석한 후 개츠비와 우정을 쌓게 된 닉은 자신의 사촌 데이지와 개츠비가 옛 연인 사이였던 것을 알게 된다. 데이지는 가난한데다 전쟁터에서도 돌아오지 않는 개츠비를 잊은 채 부유한 톰과 결혼한 상태이다. 하지만 그녀의 남편 톰은 정비공의 아내와 은밀한 사이였고, 때마침 개츠비와 재회하게 된 데이지는 잊혀졌던 사랑의 감정을 되살리는데…","드라마, 로맨스",15세 이상 관람가,2013년,3.5,https://file.kinolights.com/m/content_poster/202307/12/fb8d147f-ec35-459e-81c1-310a9274b1d9.webp,쿠팡플레이
위대한 부활 : 에르투룰 시즌3,오스만 제국의 창시자인 오스만 1세의 아버지 에르투룰 베이의 일대기를 그린 역사 드라마,"드라마, 액션",15세 이상 시청가,2016년,0.0,https://file.kinolights.com/m/content_poster/202412/06/6791b79d-2584-4d2c-9e9c-5dcb664e5e7e.webp,"왓챠, 티빙"
위대한 쇼맨,가난한 재단사의 아들 바넘은 채리티와의 사랑을 이루겠다는 꿈과 함께 환상의 세계를 보여주겠다는 꿈을 꾼다. 특별한 쇼를 여는데 성공하지만 비난을 받은 바넘은 상류층 연극인 필립을 영입한다.,드라마,12세 이상 관람가,2017년,3.5,https://file.kinolights.com/m/content_poster/202307/12/15b4e4c1-2b20-4e2d-ab87-f23019d009e5.webp,쿠팡플레이
위아 유어 프렌즈,"최고의 DJ를 꿈꾸며 자신만의 방식대로 클럽 공연을 하고 있는 콜은 어느 날, 잘나가는 DJ 제임스와 그의 여자친구 소피를 만나게 된다. 콜의 재능을 눈여겨본 제임스의 아낌없는 지원 덕분에 그의 인생은 180도 화끈한 반전을 맞이하게 되지만, 함께하는 시간이 길어질수록 소피에게 향하는 자신의 마음을 감출 수 없어 괴로워한다. 설상가상 절친들과도 점차 멀어지게 되면서 콜은 선택의 기로에 놓이게 되는데…","드라마, 로맨스",청소년 관람불가,2015년,2.6,https://file.kinolights.com/m/content_poster/202307/12/79acba60-6dc8-487b-9c73-907a8f9cc710.webp,"넷플릭스, 왓챠, 티빙"
위키드,"자신의 진정한 힘을 미처 발견하지 못한 엘파바. 자신의 진정한 본성을 아직 발견하지 못한 글린다. 전혀 다른 두 사람은 마법 같은 우정을 쌓아간다. 그러던 어느 날, 마법사의 초대를 받아 에메랄드 시티로 가게 되고 운명은 예상치 못한 위기와 모험으로 두 사람을 이끄는데…",판타지,전체 관람가,2024년,3.7,https://file.kinolights.com/m/content_poster/202410/28/e85e7c9f-7169-47fd-8bbe-56f7c5e35c04.webp,"왓챠, 쿠팡플레이"
위플래쉬,"최고의 드러머가 되기 위해서라면 무엇이든 할 각오가 되어있는 음악대학 신입생 앤드류는 우연한 기회로 누구든지 성공으로 이끄는 최고의 실력자이지만, 또한 동시에 최악의 폭군인 플렛처 교수에게 발탁되어 그의 밴드에 들어가게 된다. 폭언과 학대 속에 좌절과 성취를 동시에 안겨주는 플렛처의 지독한 교육방식은 천재가 되길 갈망하는 앤드류의 집착을 끌어내며 그를 점점 광기로 몰아넣는데…",드라마,15세 이상 관람가,2014년,4.2,https://file.kinolights.com/m/content_poster/202503/14/d4ffdc39-6a95-45cc-85df-2c2ec077f75a.webp,"넷플릭스, 쿠팡플레이"
윈드 리버,"발자국마저 사라지는 고요한 설원 위를 맨발로 달리던 한 소녀가 피를 토하며 죽는다. 윈드 리버의 야생동물 헌터 코리가 소녀의 시체를 발견하고, 신입 FBI요원 제인이 사건 담당자로 그곳에 도착한다. 범인이 남긴 증거는 눈보라에 휩싸여 점점 사라지고, 수사는 난항을 겪는다. 3년 전, 윈드 리버에서 벌어진 살인 사건과의 유사점을 발견한 코리가 수사에 공조하면서 두 사람은 범인의 그림자에 빠른 속도로 접근하는데…","드라마, 스릴러",15세 이상 관람가,2016년,3.7,https://file.kinolights.com/m/content_poster/202307/12/c111a1a8-fce3-4e9c-9213-35a64aae6ba6.webp,티빙
유감스러운 도시,"품질보증! 웃음보장! 그들이 온다!

강력계 근성이 숨쉬고 있는 교통 경찰 ‘장충동’. 외부에 얼굴이 알려지지 않았다는 이유로 특수수사팀에 합류, 기업형 거대 조직의 새내기 조직원으로 잠입하는 일생일대의 특수 임무를 맡게 된다. 일명 ‘대가리’라 불리는 ‘문동식’의 수하가 되어 갖은 구박을 받던 ‘충동’은 특수수사팀의 계획적인 도움으로 조직의 보스 ‘양광섭’의 목숨을 구하고, 조직의 수뇌부로 인정받으며 급부상하게 된다.
한편 조직에서도 특수수사팀의 수사망을 피하기 위해 위장 잠입시킬 인재를 찾고 ‘이중대’가 그 임무를 맡게 된다. 물론, 얼굴이 알려지지 않았다는 이유로…. ‘중대’는 조직원이었을 때의 경험(?)을 십분 발휘해 강력계 사건들을 속속 해결하며 특수수사팀에 합류하게 된다. 그리고 내사과 ‘차세린’ 경위와 사랑에 빠지게 되고 이를 눈치 챈 조직의 2인자 ‘쌍칼’의 감시를 받게 된다.
경찰에서 조직원으로, 조직원에서 경찰로 모든 것이 바뀌어 버린 ‘장충동’과 ‘이중대’는 조직의 러시아 밀거래를 앞두고 속고 속이는 본격적인 임무수행을 시작하는데…. 물 만난 고기처럼 완벽하게 역할체인지 완료! 과연 그들은 본성을 숨기고 아슬아슬한 특수임무를 끝마칠 수 있을까??..","코미디, 액션",15세 이상 관람가,2008년,1.7,https://file.kinolights.com/m/content_poster/202307/12/b0b46333-ffdc-4f82-9a80-e9afc9385d74.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
유령,"항일조직 흑색단의 스파이인 유령이 비밀리에 활약하고 있다. 새로 부임한 경호대장 카이토는 흑색단의 총독 암살 시도를 막기 위해 조선총독부 내의 유령을 잡으려는 덫을 친다. 영문도 모른 채, 유령으로 의심받고 벼랑 끝 외딴 호텔에 갇힌 용의자들. 총독부 통신과 감독관 쥰지, 암호문 기록 담당 차경, 정무총감 비서 유리코, 암호 해독 담당 천계장, 통신과 직원 백호. 이들에게 주어진 시간은 단 하루 뿐.","액션, 스릴러",15세 이상 관람가,2022년,2.8,https://file.kinolights.com/m/content_poster/202307/12/e98921a6-e34a-4765-9922-1a72164bf3ed.webp,"넷플릭스, 왓챠, 티빙"
유미의 세포들 시즌 1,"드라마 최초로 실사와 3d 애니메이션을 결합해 귀여운 세포들을 보는 재미가 있는 드라마이다. 웹툰 ‘유미의 세포들’을 원작으로 하며, 안보현이 캐스팅된 ‘구웅’의 모습이 특히 웹툰 캐릭터와 똑같다는 평을 받고 있다!","드라마, 로맨스",15세 이상 시청가,2021년,4.0,https://file.kinolights.com/m/content_poster/202307/12/4287ded5-513f-49e7-829d-d17be915b35e.webp,티빙
유미의 세포들 시즌 2,세포들과 함께 먹고 사랑하고 성장하는 평범한 유미(김고은 분)의 이야기를 그린 세포 자극 공감 로맨스 시즌2. 바비(박진영 분)와 새로운 사랑을 시작하게 된 유미! 유미의 한층 성숙한 사랑과 꿈을 응원하는 세포들의 이야기.,"드라마, 로맨스",15세 이상 시청가,2022년,4.0,https://file.kinolights.com/m/content_poster/202307/12/bfabfd4c-9c9e-42fb-9f36-63a5aa3bdb42.webp,티빙
유어 아너,아들의 살인을 은폐하는 판사 vs 아들의 살인범을 쫓는 범죄 조직 보스. 자식을 위해 괴물이 되기로 한 두 아버지의 부성 본능 대치극,스릴러,15세 이상 시청가,2024년,3.4,https://file.kinolights.com/m/content_poster/202408/05/78ff33a8-fd05-4905-8c35-cf4bc551fcda.webp,티빙
유전,"애니는 일주일 전 돌아가신 엄마의 유령이 집에 나타나는 것을 느낀다. 애니가 엄마와 닮았다며 접근한 수상한 이웃 조안을 통해 엄마의 비밀을 발견하고, 자신이 엄마와 똑같은 일을 저질렀음을 알게 된다. 그리고 마침내 애니의 엄마로부터 시작돼 아들 피터와 딸 찰리에게까지 이어진 저주의 실체가 정체를 드러내는데…","드라마, 스릴러, 공포",15세 이상 관람가,2018년,3.7,https://file.kinolights.com/m/content_poster/202307/12/11312c1f-c1c3-42e0-8e83-d0534fd03680.webp,"넷플릭스, 왓챠, 쿠팡플레이"
유주얼 서스펙트,"수사관 데이브 쿠얀은 유일한 생존자인 버벌로부터 폭발 사고의 유력한 용의자로 지목되었던 5인에 대한 진술을 듣는다. 버벌의 진술과 함께 속속 드러나는 지난 6주간 있었던 그들의 화려한 범죄 행각, 하지만 정작 용의자들도 모르게 그들 위에 존재했던 전설 속 악마 ‘카이저 소제’의 존재가 부각되며 쿠얀은 혼란에 빠진다.",스릴러,청소년 관람불가,1995년,4.0,https://file.kinolights.com/m/content_poster/202307/12/8ec89311-16ba-4fc4-becd-d44a9d0c6da5.webp,쿠팡플레이
유포리아 시즌 1,‘미국판 스킨스’라고 불리는 매운맛 하이틴 드라마이다. 유포리아 속 등장인물들의 실험적으로 화려한 메이크업은 해외 10대들에게 하나의 틱톡 감성으로 자리 잡았다고 한다.,드라마,19세 이상 시청가,2019년,3.7,https://file.kinolights.com/m/content_poster/202307/12/72501e98-45f2-4598-9f3c-4982f0d401e3.webp,쿠팡플레이
육룡이 나르샤,고려라는 나라에 대항하여 새로운 나라를 세우기 위해 몸을 일으킨 여섯 인물. 이들은 각자 고려를 향한 분노를 표출하기 시작한다.,드라마,15세 이상 시청가,2015년,3.9,https://file.kinolights.com/m/content_poster/202307/12/32346c6a-aeae-4989-a7a8-3617c1ab08a9.webp,넷플릭스
육사오,"우연히 1등 당첨 로또를 주운 말년 병장 천우. 심장이 터질듯한 설렘도 잠시, 순간의 실수로 바람을 타고 군사분계선을 넘어간 로또. 바사삭 부서진 멘탈을 부여잡고…기필코 다시 찾아야 한다! 우연히 남쪽에서 넘어온 1등 당첨 로또를 주운 북한 병사 용호. 이거이 남조선 인민의 고혈을 쥐어 짜내는 육사오라는 종이쪼가리란 말인가? 근데 무려 당첨금이 57억이라고?! 당첨금을 눈앞에서 놓칠 위기에 처한 천우와 북에선 한낱 종이쪼가리일 뿐일 로또를 당첨금으로 바꿔야 하는 용호. 여기에 예상치 못한 멤버들(?)까지 합류하고 57억을 사수하기 위한 3:3팀이 결성되는데…","드라마, 코미디",12세 이상 관람가,2022년,3.0,https://file.kinolights.com/m/content_poster/202307/12/23cb5260-928f-4cd2-a891-b24863944fd7.webp,쿠팡플레이
윤희에게,"평범한 일상을 살아가던 윤희 앞으로 도착한 한 통의 편지. 편지를 몰래 읽어본 딸 새봄은 편지의 내용을 숨긴 채 발신인이 살고 있는 곳으로 여행을 제안하고, 윤희는 비밀스러웠던 첫사랑의 기억으로 가슴이 뛴다. 새봄과 함께 여행을 떠난 윤희는 끝없이 눈이 내리는 그곳에서 첫사랑을 만날지도 모른다는 기대를 품는데…","드라마, 로맨스",12세 이상 관람가,2019년,3.8,https://file.kinolights.com/m/content_poster/202307/12/8ea6f754-aa37-45e8-9d3f-915678faef1c.webp,"넷플릭스, 왓챠, 티빙"
은교,"세상이 인정한 위대한 노시인 이적요와 재능은 없지만 마음을 다 바쳐 스승을 섬기는 젊은 소설가 서지우는 서로에게 아버지와 아들 같은 사제지간이다. 하지만 스승의 그늘에 가려진 채 그를 동경하면서도 뛰어넘고자 하는 서지우와 재능이 턱없이 모자란 제자가 불쌍하면서도 부끄러운 이적요의 애증관계에 열일곱 소녀 한은교가 끼어들면서, 두 사람의 사이는 조금씩 균열의 조짐을 보이기 시작한다. 자신을 따르는 은교를 보며 귀여움과 매력을 동시에 느끼는 이적요는 점점 은교에게 마음이 빼앗긴다. 한편 서지우는 은교의 등장으로 스승과 자신의 관계가 점점 멀어지자 은교에게 집착하게 된다. 질투와 시기에 눈이 멀어 사랑과 증오 사이를 오가며 계속 해서 이적요를 배신하게 되는 서지우. 결국 이적요는 그 모든 사실을 알게 되고...","드라마, 로맨스",청소년 관람불가,2012년,2.7,https://file.kinolights.com/m/content_poster/202307/12/2d1da5ca-5a1e-4501-875b-207fc4212bff.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
